C#,CNAME,PERIOD,CREDIT,TEACHER
0822,中国古代文论,48.0,3.0,翟杨莉
0823,外国文学作品研读,32.0,2.0,魏策策
0824,语言学概论,32.0,2.0,马梅玉
0825,外国文学史,64.0,4.0,"魏策策,吴小侠"
0826,比较文学导论,32.0,2.0,"魏琛琳,梁宏安"
0827,中国当代文艺思潮,32.0,2.0,翟杨莉
0828,学年论文,16.0,1.0,荆珊
0829,学年论文,16.0,1.0,翁少妙
0830,《诗经》与礼乐文化,32.0,2.0,罗军凤
0831,对外汉语教学,32.0,2.0,"冯潇,李馨郁,路荣,赵炜"
0832,影视鉴赏与制作,32.0,2.0,姚明今
0833,辞赋与汉唐文化,32.0,2.0,刘祥
0834,社会语言学,32.0,2.0,马梅玉
0835,唐诗与长安,32.0,2.0,李明
0836,戏曲鉴赏,32.0,2.0,吴小侠
0837,中国现代文学文献学,32.0,2.0,曾祥金
0838,音韵学,32.0,2.0,"丁丁,李明,马梅玉"
0839,逻辑与批判性思维,32.0,2.0,"王伟,丁晓军"
0840,逻辑与批判性思维,32.0,2.0,"王伟,丁晓军"
0841,美学,48.0,3.0,妥建清
0842,伦理学,48.0,3.0,王珏
0843,马克思主义哲学原著选读,48.0,3.0,罗久
0844,西方哲学原著选读,48.0,3.0,张志伟
0845,中国哲学原著选读,48.0,3.0,"刘俊,邓妙子,谢徐林"
0846,宗教哲学,48.0,3.0,邓妙子
0847,西方哲学史 II,48.0,3.0,"王嘉新,张志伟,王健"
0848,马克思主义哲学史II,48.0,3.0,"王健,王赛"
0849,西方哲学史I,64.0,4.0,"曹聪,王嘉新"
0850,中国哲学史I,48.0,3.0,谢徐林
0851,宋明理学,32.0,2.0,刘俊
0852,科学技术史,32.0,2.0,王振嵩
0853,形而上学导论,32.0,2.0,张志伟
0854,复杂信息系统理论基础,32.0,2.0,邬天启
0855,智能科学的哲学基础,32.0,2.0,丁晓军
0856,德国哲学,32.0,2.0,程府
0857,中国现当代哲学前沿,32.0,2.0,龚建平
0858,西方哲学前沿,32.0,2.0,罗久
0859,价值哲学导论,32.0,2.0,王振嵩
0860,政治哲学导论,32.0,2.0,付侗
0861,心理发展与健康,32.0,2.0,"钱玉燕,李占星"
0862,医学心理学,32.0,2.0,"钱玉燕,王瑜萍"
0863,社会研究方法,32.0,2.0,"郭小弦,李晓光,缪晓雷,帅满,陈滔"
0864,社会研究方法,32.0,2.0,"郭小弦,李晓光,帅满,缪晓雷,陈滔"
0865,中国社会学史,32.0,2.0,姜利标
0866,社会分层与流动,48.0,3.0,张顺
0867,组织社会学,48.0,3.0,李晓光
0868,社会统计学,48.0,3.0,朱晓文
0869,社会组织管理,48.0,3.0,吴苏
0870,社会服务项目开发与评估,48.0,3.0,彭瑾
0871,老年社会学,32.0,2.0,陈滔
0872,科学社会学,32.0,2.0,"杨张博,罗阳"
0873,人类学,32.0,2.0,缪晓雷
0874,社会网络分析,48.0,3.0,"悦中山,杨张博"
0875,家庭与性别社会学 Sociology of Family and Gender,48.0,3.0,王奕轩
0876,社会政策学,32.0,2.0,郭小弦
0877,西方社会学理论前沿,32.0,2.0,"姜利标,吴苏"
0878,新媒体与社会治理,32.0,2.0,"沈霄,张立,蒙胜军"
0879,媒介伦理与法治,48.0,3.0,申楠
0880,网络舆情监测与研判,48.0,3.0,陈强
0881,网络舆情监测与研判,48.0,3.0,张立
0882,马克思主义新闻观,48.0,3.0,叶妮
0883,新媒体广告设计,48.0,3.0,刘婵君
0884,媒介运营与管理,48.0,3.0,张宏邦
0885,传播学研究方法,48.0,3.0,张立
0886,数字媒介概论,32.0,2.0,牛耀红
0887,国际传播,48.0,3.0,申楠
0888,批判传播学,32.0,2.0,赵一菲
0889,网页设计与制作,32.0,2.0,杨帆
0890,理解我们生活的世界：批判视野下的媒介与社会,16.0,1.0,"张窈,赵一菲,徐婧"
0891,网络媒介素养,32.0,2.0,"王威力,廖政贸,刘婵君"
0892,危机传播学：从理论到实战,32.0,2.0,"李巨星,张窈,王威力,廖政贸,李明德"
0893,外国新闻史,32.0,2.0,张窈
0894,媒介理论研究与前沿,32.0,2.0,赵一菲
0895,传播思想史,32.0,2.0,"张铁云,达雅楠"
0896,健康管理与健身方法,32.0,2.0,裴永杰
0897,健康管理与健身方法,32.0,2.0,裴永杰
0898,健康管理与健身方法,32.0,2.0,石磊
0899,中华武术文化传承与实践,32.0,2.0,潘秀刚
0900,体育２（民族预科）,32.0,0.5,高丹娜
0901,体育２（民族预科）,32.0,0.5,陈龙伟
0902,体育２（民族预科）,32.0,0.5,贺智裕
0903,体育２（民族预科）,32.0,0.5,宋绍鹏
0904,体育２（民族预科）,32.0,0.5,刘超洋
0905,体育-2,32.0,0.5,任文君
0906,体育-2,32.0,0.5,任文君
0907,体育-2,32.0,0.5,任文君
0908,体育-2,32.0,0.5,"任文君,万菲"
0909,体育-2,32.0,0.5,张中江
0910,体育-2,32.0,0.5,张中江
0911,体育-2,32.0,0.5,严春辉
0912,体育-2,32.0,0.5,彭习涛
0913,体育-2,32.0,0.5,张蕾
0914,体育-2,32.0,0.5,张蕾
0915,体育-2,32.0,0.5,何昌珂
0916,体育-2,32.0,0.5,何昌珂
0917,体育-2,32.0,0.5,何昌珂
0918,体育-2,32.0,0.5,何昌珂
0919,体育-2,32.0,0.5,何昌珂
0920,体育-2,32.0,0.5,何昌珂
0921,体育-2,32.0,0.5,何昌珂
0922,体育-2,32.0,0.5,高丹娜
0923,体育-2,32.0,0.5,彭习涛
0924,体育-2,32.0,0.5,高丹娜
0925,体育-2,32.0,0.5,高丹娜
0926,体育-2,32.0,0.5,高丹娜
0927,体育-2,32.0,0.5,鲁婷婷
0928,体育-2,32.0,0.5,鲁婷婷
0929,体育-2,32.0,0.5,鲁婷婷
0930,体育-2,32.0,0.5,姜伟
0931,体育-2,32.0,0.5,姜伟
0932,体育-2,32.0,0.5,姜伟
0933,体育-2,32.0,0.5,彭习涛
0934,体育-2,32.0,0.5,赵江鸿
0935,体育-2,32.0,0.5,赵江鸿
0936,体育-2,32.0,0.5,赵江鸿
0937,体育-2,32.0,0.5,赵江鸿
0938,体育-2,32.0,0.5,赵江鸿
0939,体育-2,32.0,0.5,尚广杰
0940,体育-2,32.0,0.5,尚广杰
0941,体育-2,32.0,0.5,尚广杰
0942,体育-2,32.0,0.5,尚广杰
0943,体育-2,32.0,0.5,尚广杰
0944,体育-2,32.0,0.5,彭习涛
0945,体育-2,32.0,0.5,闫宽
0946,体育-2,32.0,0.5,闫宽
0947,体育-2,32.0,0.5,汪一鸣
0948,体育-2,32.0,0.5,汪一鸣
0949,体育-2,32.0,0.5,汪一鸣
0950,体育-2,32.0,0.5,汪一鸣
0951,体育-2,32.0,0.5,汪一鸣
0952,体育-2,32.0,0.5,胡浩
0953,体育-2,32.0,0.5,彭习涛
0954,体育-2,32.0,0.5,胡浩
0955,体育-2,32.0,0.5,王保金
0956,体育-2,32.0,0.5,王保金
0957,体育-2,32.0,0.5,王保金
0958,体育-2,32.0,0.5,闫宽
0959,体育-2,32.0,0.5,李军
0960,体育-2,32.0,0.5,闫宽
0961,体育-2,32.0,0.5,李军
0962,体育-2,32.0,0.5,李军
0963,体育-2,32.0,0.5,张晟
0964,体育-2,32.0,0.5,彭习涛
0965,体育-2,32.0,0.5,张晟
0966,体育-2,32.0,0.5,张晟
0967,体育-2,32.0,0.5,曲强
0968,体育-2,32.0,0.5,曲强
0969,体育-2,32.0,0.5,邱宏军
0970,体育-2,32.0,0.5,邱宏军
0971,体育-2,32.0,0.5,邱宏军
0972,体育-2,32.0,0.5,邱宏军
0973,体育-2,32.0,0.5,彭习涛
0974,体育-2,32.0,0.5,张博昆
0975,体育-2,32.0,0.5,张博昆
0976,体育-2,32.0,0.5,刘乘翔
0977,体育-2,32.0,0.5,刘乘翔
0978,体育-2,32.0,0.5,王泰朗
0979,体育-2,32.0,0.5,王泰朗
0980,体育-2,32.0,0.5,王泰朗
0981,体育-2,32.0,0.5,王泰朗
0982,体育-2,32.0,0.5,彭麟凯
0983,体育-2,32.0,0.5,彭习涛
0984,体育-2,32.0,0.5,"王云冰,赵家庆"
0985,体育-2,32.0,0.5,"刘志强,贺博洋"
0986,体育-2,32.0,0.5,"刘志强,贺博洋"
0987,体育-2,32.0,0.5,王小春
0988,体育-2,32.0,0.5,"裴永杰,魏昊"
0989,体育-2,32.0,0.5,"裴永杰,魏昊"
0990,体育-2,32.0,0.5,裴永杰
0991,体育-2,32.0,0.5,陈龙伟
0992,体育-2,32.0,0.5,石磊
0993,体育-2,32.0,0.5,陈龙伟
0994,体育-2,32.0,0.5,陈龙伟
0995,体育-2,32.0,0.5,陈龙伟
0996,体育-2,32.0,0.5,王真
0997,体育-2,32.0,0.5,王真
0998,体育-2,32.0,0.5,王真
0999,体育-2,32.0,0.5,贺智裕
1000,体育-2,32.0,0.5,张秋君
1001,体育-2,32.0,0.5,石磊
1002,体育-2,32.0,0.5,张秋君
1003,体育-2,32.0,0.5,张秋君
1004,体育-2,32.0,0.5,张秋君
1005,体育-2,32.0,0.5,李飞
1006,体育-2,32.0,0.5,李飞
1007,体育-2,32.0,0.5,李飞
1008,体育-2,32.0,0.5,李飞
1009,体育-2,32.0,0.5,陈善平
1010,体育-2,32.0,0.5,洪流
1011,体育-2,32.0,0.5,石磊
1012,体育-2,32.0,0.5,洪流
1013,体育-2,32.0,0.5,宋绍鹏
1014,体育-2,32.0,0.5,宋绍鹏
1015,体育-2,32.0,0.5,宋绍鹏
1016,体育-2,32.0,0.5,宋绍鹏
1017,体育-2,32.0,0.5,宋绍鹏
1018,体育-2,32.0,0.5,宋绍鹏
1019,体育-2,32.0,0.5,张斌南
1020,体育-2,32.0,0.5,张斌南
1021,体育-2,32.0,0.5,张斌南
1022,体育-2,32.0,0.5,石磊
1023,体育-2,32.0,0.5,"刘长江,牛龙"
1024,体育-2,32.0,0.5,"陈龙伟,牛龙"
1025,体育-2,32.0,0.5,姚明霞
1026,体育-2,32.0,0.5,刘丽萍
1027,体育-2,32.0,0.5,刘丽萍
1028,体育-2,32.0,0.5,党笛洋
1029,体育-2,32.0,0.5,董亚光
1030,体育-2,32.0,0.5,党笛洋
1031,体育-2,32.0,0.5,穆若颖
1032,体育-2,32.0,0.5,穆若颖
1033,体育-2,32.0,0.5,党笛洋
1034,体育-2,32.0,0.5,党笛洋
1035,体育-2,32.0,0.5,刘超洋
1036,体育-2,32.0,0.5,刘超洋
1037,体育-2,32.0,0.5,刘超洋
1038,体育-2,32.0,0.5,张慧雯
1039,体育-2,32.0,0.5,张慧雯
1040,体育-2,32.0,0.5,李云镔
1041,体育-2,32.0,0.5,张慧雯
1042,体育-2,32.0,0.5,杨光
1043,体育-2,32.0,0.5,杨光
1044,体育-2,32.0,0.5,杨光
1045,体育-2,32.0,0.5,杨光
1046,体育-2,32.0,0.5,杨光
1047,体育-2,32.0,0.5,杨光
1048,体育-2,32.0,0.5,杨光
1049,体育-2,32.0,0.5,张丽萍
1050,体育-2,32.0,0.5,李云镔
1051,体育-2,32.0,0.5,张丽萍
1052,体育-2,32.0,0.5,弥军民
1053,体育-2,32.0,0.5,弥军民
1054,体育-2,32.0,0.5,弥军民
1055,体育-2,32.0,0.5,李宝成
1056,体育-2,32.0,0.5,李宝成
1057,体育-2,32.0,0.5,李宝成
1058,体育-2,32.0,0.5,李宝成
1059,体育-2,32.0,0.5,李云镔
1060,体育-2,32.0,0.5,"弥军民,李楠"
1061,体育-2,32.0,0.5,刘迅雷
1062,体育-2,32.0,0.5,潘秀刚
1063,体育-2,32.0,0.5,潘秀刚
1064,体育-2,32.0,0.5,潘秀刚
1065,体育-2,32.0,0.5,潘秀刚
1066,体育-2,32.0,0.5,程立雪
1067,体育-2,32.0,0.5,程立雪
1068,体育-2,32.0,0.5,葛金琰
1069,体育-2,32.0,0.5,李云镔
1070,体育-2,32.0,0.5,葛金琰
1071,体育-2,32.0,0.5,葛金琰
1072,体育-2,32.0,0.5,李志清
1073,体育-2,32.0,0.5,胡良楠
1074,体育-2,32.0,0.5,胡良楠
1075,体育-2,32.0,0.5,王云冰
1076,体育-2,32.0,0.5,王云冰
1077,体育-2,32.0,0.5,鲁婷婷
1078,体育-2,32.0,0.5,邱宏军
1079,体育-2,32.0,0.5,李云镔
1080,体育-2,32.0,0.5,党笛洋
1081,体育-2,32.0,0.5,弥军民
1082,体育-2,32.0,0.5,程立雪
1083,体育-2,32.0,0.5,王保金
1084,体育-2,32.0,0.5,位桂香
1085,体育-2,32.0,0.5,位桂香
1086,体育-2,32.0,0.5,"肖坤鹏,万菲"
1087,体育-2,32.0,0.5,闫宽
1088,体育-2,32.0,0.5,王泰朗
1089,体育-2,32.0,0.5,李云镔
1090,体育-2,32.0,0.5,洪流
1091,体育-2,32.0,0.5,"肖坤鹏,万菲"
1092,体育-2,32.0,0.5,"冯申阳,贺京周"
1093,体育-2,32.0,0.5,徐川傲
1094,体育-2,32.0,0.5,"肖坤鹏,万菲"
1095,体育-2,32.0,0.5,"万菲,严春辉"
1096,体育-2,32.0,0.5,徐川傲
1097,体育-2,32.0,0.5,徐川傲
1098,体育-2,32.0,0.5,"徐川傲,张宇琨"
1099,体育-2,32.0,0.5,龚建亭
1100,体育-2,32.0,0.5,龚建亭
1101,体育-2,32.0,0.5,龚建亭
1102,体育-2,32.0,0.5,龚建亭
1103,体育-2,32.0,0.5,龚建亭
1104,体育-2,32.0,0.5,"龚建亭,黄诗贻"
1105,体育-2,32.0,0.5,"龚建亭,黄诗贻"
1106,体育-2,32.0,0.5,"龚建亭,黄诗贻"
1107,体育-2,32.0,0.5,李志清
1108,体育-2,32.0,0.5,"李志清,杨彦博"
1109,体育-2,32.0,0.5,宇文展
1110,体育-2,32.0,0.5,宇文展
1111,体育-2,32.0,0.5,宇文展
1112,体育-2,32.0,0.5,宇文展
1113,体育-2,32.0,0.5,李靖
1114,体育-2,32.0,0.5,李靖
1115,体育-2,32.0,0.5,李靖
1116,体育-2,32.0,0.5,"李靖,黄诗贻"
1117,体育-2,32.0,0.5,韩骥磊
1118,体育-2,32.0,0.5,韩骥磊
1119,体育-2,32.0,0.5,韩骥磊
1120,体育-2,32.0,0.5,韩骥磊
1121,体育-2,32.0,0.5,东岳
1122,体育-2,32.0,0.5,东岳
1123,体育-2,32.0,0.5,东岳
1124,体育-2,32.0,0.5,东岳
1125,体育-2,32.0,0.5,胡良楠
1126,体育-2,32.0,0.5,肖坤鹏
1127,体育-2,32.0,0.5,肖坤鹏
1128,体育-2,32.0,0.5,肖坤鹏
1129,体育-2,32.0,0.5,何黛
1130,体育-2,32.0,0.5,何黛
1131,体育-2,32.0,0.5,"何黛,万菲"
1132,体育-2,32.0,0.5,"何黛,万菲"
1133,体育-2,32.0,0.5,黄霞
1134,体育-2,32.0,0.5,黄霞
1135,体育-2,32.0,0.5,黄霞
1136,体育-2,32.0,0.5,胡良楠
1137,体育-2,32.0,0.5,胡良楠
1138,体育-2,32.0,0.5,胡良楠
1139,体育-2,32.0,0.5,彭麟凯
1140,体育-2,32.0,0.5,彭麟凯
1141,体育-2,32.0,0.5,彭麟凯
1142,体育-2,32.0,0.5,彭麟凯
1143,体育-2,32.0,0.5,"程立雪,杨彦博"
1144,体育-2,32.0,0.5,谢招福
1145,体育-2,32.0,0.5,谢招福
1146,体育-2,32.0,0.5,谢招福
1147,体育-2,32.0,0.5,谢招福
1148,体育-2,32.0,0.5,宋雷
1149,体育-2,32.0,0.5,宋雷
1150,体育-2,32.0,0.5,宋雷
1151,体育-2,32.0,0.5,冯申阳
1152,体育-2,32.0,0.5,冯申阳
1153,体育-2,32.0,0.5,刘志强
1154,体育-2,32.0,0.5,刘志强
1155,体育-2,32.0,0.5,刘志强
1156,体育-2,32.0,0.5,郭义军
1157,体育-2,32.0,0.5,郭义军
1158,体育-2,32.0,0.5,郭义军
1159,体育-2,32.0,0.5,郭义军
1160,体育-2,32.0,0.5,郭义军
1161,体育-2,32.0,0.5,刘长江
1162,体育-4,32.0,0.5,任文君
1163,体育-4,32.0,0.5,"任文君,张宇琨"
1164,体育-4,32.0,0.5,张中江
1165,体育-4,32.0,0.5,张中江
1166,体育-4,32.0,0.5,张中江
1167,体育-4,32.0,0.5,张中江
1168,体育-4,32.0,0.5,郭义军
1169,体育-4,32.0,0.5,郭义军
1170,体育-4,32.0,0.5,郭义军
1171,体育-4,32.0,0.5,郭义军
1172,体育-4,32.0,0.5,刘长江
1173,体育-4,32.0,0.5,何昌珂
1174,体育-4,32.0,0.5,高丹娜
1175,体育-4,32.0,0.5,高丹娜
1176,体育-4,32.0,0.5,高丹娜
1177,体育-4,32.0,0.5,高丹娜
1178,体育-4,32.0,0.5,高丹娜
1179,体育-4,32.0,0.5,程立雪
1180,体育-4,32.0,0.5,鲁婷婷
1181,体育-4,32.0,0.5,鲁婷婷
1182,体育-4,32.0,0.5,鲁婷婷
1183,体育-4,32.0,0.5,鲁婷婷
1184,体育-4,32.0,0.5,鲁婷婷
1185,体育-4,32.0,0.5,张蕾
1186,体育-4,32.0,0.5,张蕾
1187,体育-4,32.0,0.5,张蕾
1188,体育-4,32.0,0.5,姜伟
1189,体育-4,32.0,0.5,姜伟
1190,体育-4,32.0,0.5,姜伟
1191,体育-4,32.0,0.5,姜伟
1192,体育-4,32.0,0.5,赵江鸿
1193,体育-4,32.0,0.5,赵江鸿
1194,体育-4,32.0,0.5,赵江鸿
1195,体育-4,32.0,0.5,严春辉
1196,体育-4,32.0,0.5,赵江鸿
1197,体育-4,32.0,0.5,赵江鸿
1198,体育-4,32.0,0.5,尚广杰
1199,体育-4,32.0,0.5,尚广杰
1200,体育-4,32.0,0.5,尚广杰
1201,体育-4,32.0,0.5,尚广杰
1202,体育-4,32.0,0.5,尚广杰
1203,体育-4,32.0,0.5,尚广杰
1204,体育-4,32.0,0.5,严春辉
1205,体育-4,32.0,0.5,汪一鸣
1206,体育-4,32.0,0.5,胡浩
1207,体育-4,32.0,0.5,胡浩
1208,体育-4,32.0,0.5,闫宽
1209,体育-4,32.0,0.5,闫宽
1210,体育-4,32.0,0.5,彭习涛
1211,体育-4,32.0,0.5,闫宽
1212,体育-4,32.0,0.5,王保金
1213,体育-4,32.0,0.5,王保金
1214,体育-4,32.0,0.5,李军
1215,体育-4,32.0,0.5,李军
1216,体育-4,32.0,0.5,张晟
1217,体育-4,32.0,0.5,张晟
1218,体育-4,32.0,0.5,石磊
1219,体育-4,32.0,0.5,张晟
1220,体育-4,32.0,0.5,曲强
1221,体育-4,32.0,0.5,曲强
1222,体育-4,32.0,0.5,曲强
1223,体育-4,32.0,0.5,曲强
1224,体育-4,32.0,0.5,曲强
1225,体育-4,32.0,0.5,张蕾
1226,体育-4,32.0,0.5,邱宏军
1227,体育-4,32.0,0.5,邱宏军
1228,体育-4,32.0,0.5,邱宏军
1229,体育-4,32.0,0.5,董亚光
1230,体育-4,32.0,0.5,"贺京周,位桂香"
1231,体育-4,32.0,0.5,刘乘翔
1232,体育-4,32.0,0.5,刘乘翔
1233,体育-4,32.0,0.5,刘乘翔
1234,体育-4,32.0,0.5,王泰朗
1235,体育-4,32.0,0.5,王泰朗
1236,体育-4,32.0,0.5,董亚光
1237,体育-4,32.0,0.5,王泰朗
1238,体育-4,32.0,0.5,王泰朗
1239,体育-4,32.0,0.5,"王云冰,赵家庆"
1240,体育-4,32.0,0.5,"王云冰,赵家庆"
1241,体育-4,32.0,0.5,"王云冰,赵家庆"
1242,体育-4,32.0,0.5,"刘志强,贺博洋"
1243,体育-4,32.0,0.5,"刘志强,贺博洋"
1244,体育-4,32.0,0.5,王小春
1245,体育-4,32.0,0.5,王小春
1246,体育-4,32.0,0.5,裴永杰
1247,体育-4,32.0,0.5,董亚光
1248,体育-4,32.0,0.5,"裴永杰,魏昊"
1249,体育-4,32.0,0.5,裴永杰
1250,体育-4,32.0,0.5,裴永杰
1251,体育-4,32.0,0.5,裴永杰
1252,体育-4,32.0,0.5,陈龙伟
1253,体育-4,32.0,0.5,陈龙伟
1254,体育-4,32.0,0.5,陈龙伟
1255,体育-4,32.0,0.5,王真
1256,体育-4,32.0,0.5,贺智裕
1257,体育-4,32.0,0.5,董亚光
1258,体育-4,32.0,0.5,张秋君
1259,体育-4,32.0,0.5,张秋君
1260,体育-4,32.0,0.5,张秋君
1261,体育-4,32.0,0.5,张秋君
1262,体育-4,32.0,0.5,李飞
1263,体育-4,32.0,0.5,李飞
1264,体育-4,32.0,0.5,李飞
1265,体育-4,32.0,0.5,陈善平
1266,体育-4,32.0,0.5,陈善平
1267,体育-4,32.0,0.5,洪流
1268,体育-4,32.0,0.5,董亚光
1269,体育-4,32.0,0.5,洪流
1270,体育-4,32.0,0.5,洪流
1271,体育-4,32.0,0.5,宋绍鹏
1272,体育-4,32.0,0.5,宋绍鹏
1273,体育-4,32.0,0.5,张斌南
1274,体育-4,32.0,0.5,张斌南
1275,体育-4,32.0,0.5,张斌南
1276,体育-4,32.0,0.5,张斌南
1277,体育-4,32.0,0.5,张斌南
1278,体育-4,32.0,0.5,张斌南
1279,体育-4,32.0,0.5,董亚光
1280,体育-4,32.0,0.5,张斌南
1281,体育-4,32.0,0.5,"刘长江,牛龙"
1282,体育-4,32.0,0.5,"牛龙,陈龙伟"
1283,体育-4,32.0,0.5,姚明霞
1284,体育-4,32.0,0.5,董亚光
1285,体育-4,32.0,0.5,刘丽萍
1286,体育-4,32.0,0.5,刘丽萍
1287,体育-4,32.0,0.5,刘丽萍
1288,体育-4,32.0,0.5,刘丽萍
1289,体育-4,32.0,0.5,党笛洋
1290,体育-4,32.0,0.5,党笛洋
1291,体育-4,32.0,0.5,穆若颖
1292,体育-4,32.0,0.5,穆若颖
1293,体育-4,32.0,0.5,李云镔
1294,体育-4,32.0,0.5,刘超洋
1295,体育-4,32.0,0.5,刘超洋
1296,体育-4,32.0,0.5,刘超洋
1297,体育-4,32.0,0.5,刘超洋
1298,体育-4,32.0,0.5,杨光
1299,体育-4,32.0,0.5,杨光
1300,体育-4,32.0,0.5,杨光
1301,体育-4,32.0,0.5,杨光
1302,体育-4,32.0,0.5,张慧雯
1303,体育-4,32.0,0.5,张慧雯
1304,体育-4,32.0,0.5,张慧雯
1305,体育-4,32.0,0.5,张慧雯
1306,体育-4,32.0,0.5,张慧雯
1307,体育-4,32.0,0.5,张丽萍
1308,体育-4,32.0,0.5,张丽萍
1309,体育-4,32.0,0.5,张丽萍
1310,体育-4,32.0,0.5,李云镔
1311,体育-4,32.0,0.5,"李楠,弥军民"
1312,体育-4,32.0,0.5,弥军民
1313,体育-4,32.0,0.5,徐川傲
1314,体育-4,32.0,0.5,弥军民
1315,体育-4,32.0,0.5,李宝成
1316,体育-4,32.0,0.5,李宝成
1317,体育-4,32.0,0.5,李宝成
1318,体育-4,32.0,0.5,"李楠,弥军民"
1319,体育-4,32.0,0.5,刘迅雷
1320,体育-4,32.0,0.5,潘秀刚
1321,体育-4,32.0,0.5,潘秀刚
1322,体育-4,32.0,0.5,潘秀刚
1323,体育-4,32.0,0.5,徐川傲
1324,体育-4,32.0,0.5,葛金琰
1325,体育-4,32.0,0.5,葛金琰
1326,体育-4,32.0,0.5,"冯申阳,贺京周"
1327,体育-4,32.0,0.5,牛潇锋
1328,体育-4,32.0,0.5,牛潇锋
1329,体育-4,32.0,0.5,"徐川傲,张宇琨"
1330,体育-4,32.0,0.5,"徐川傲,张宇琨"
1331,体育-4,32.0,0.5,"刘长江,郭晨"
1332,体育-4,32.0,0.5,"刘长江,郭晨"
1333,体育-4,32.0,0.5,徐川傲
1334,体育-4,32.0,0.5,徐川傲
1335,体育-4,32.0,0.5,"徐川傲,张宇琨"
1336,体育-4,32.0,0.5,"徐川傲,张宇琨"
1337,体育-4,32.0,0.5,位桂香
1338,体育-4,32.0,0.5,龚建亭
1339,体育-4,32.0,0.5,位桂香
1340,体育-4,32.0,0.5,李志清
1341,体育-4,32.0,0.5,李志清
1342,体育-4,32.0,0.5,李志清
1343,体育-4,32.0,0.5,李志清
1344,体育-4,32.0,0.5,李志清
1345,体育-4,32.0,0.5,"杨彦博,东岳"
1346,体育-4,32.0,0.5,"李志清,杨彦博"
1347,体育-4,32.0,0.5,宇文展
1348,体育-4,32.0,0.5,宇文展
1349,体育-4,32.0,0.5,宇文展
1350,体育-4,32.0,0.5,宇文展
1351,体育-4,32.0,0.5,李靖
1352,体育-4,32.0,0.5,李靖
1353,体育-4,32.0,0.5,"李靖,黄诗贻"
1354,体育-4,32.0,0.5,韩骥磊
1355,体育-4,32.0,0.5,韩骥磊
1356,体育-4,32.0,0.5,"杨彦博,程立雪"
1357,体育-4,32.0,0.5,程立雪
1358,体育-4,32.0,0.5,东岳
1359,体育-4,32.0,0.5,东岳
1360,体育-4,32.0,0.5,东岳
1361,体育-4,32.0,0.5,尚尧
1362,体育-4,32.0,0.5,尚尧
1363,体育-4,32.0,0.5,尚尧
1364,体育-4,32.0,0.5,胡良楠
1365,体育-4,32.0,0.5,何黛
1366,体育-4,32.0,0.5,何黛
1367,体育-4,32.0,0.5,黄霞
1368,体育-4,32.0,0.5,黄霞
1369,体育-4,32.0,0.5,胡良楠
1370,体育-4,32.0,0.5,"刘长江,郭晨"
1371,体育-4,32.0,0.5,胡良楠
1372,体育-4,32.0,0.5,彭麟凯
1373,体育-4,32.0,0.5,谢招福
1374,体育-4,32.0,0.5,宋雷
1375,体育-4,32.0,0.5,宋雷
1376,体育-4,32.0,0.5,冯申阳
1377,体育-4,32.0,0.5,冯申阳
1378,体育-4,32.0,0.5,冯申阳
1379,体育-4,32.0,0.5,程立雪
1380,体育-4,32.0,0.5,葛金琰
1381,体育-4,32.0,0.5,王云冰
1382,体育-4,32.0,0.5,王云冰
1383,体育-4,32.0,0.5,王云冰
1384,预科体育2,32.0,0.5,彭麟凯
1385,预科体育2,32.0,0.5,尚尧
1386,预科体育2,32.0,0.5,谢招福
1387,预科体育2,32.0,0.5,高丹娜
1388,预科体育2,32.0,0.5,王真
1389,预科体育2,32.0,0.5,李飞
1390,预科体育2,32.0,0.5,程立雪
1391,预科体育2,32.0,0.5,葛金琰
1392,运动训练-4,64.0,4.0,"贺京周,位桂香"
1393,运动训练-2,64.0,4.0,"贺京周,位桂香"
1394,长跑,16.0,0.0,王真
1395,长跑,16.0,0.0,王真
1396,长跑,16.0,0.0,贺智裕
1397,长跑,16.0,0.0,贺智裕
1398,长跑,16.0,0.0,李飞
1399,长跑,16.0,0.0,李飞
1400,长跑,16.0,0.0,党笛洋
1401,长跑,16.0,0.0,党笛洋
1402,长跑,16.0,0.0,穆若颖
1403,长跑,16.0,0.0,穆若颖
1404,长跑,16.0,0.0,穆若颖
1405,长跑,16.0,0.0,穆若颖
1406,长跑,16.0,0.0,穆若颖
1407,长跑,16.0,0.0,张慧雯
1408,长跑,16.0,0.0,党笛洋
1409,长跑,16.0,0.0,党笛洋
1410,长跑,16.0,0.0,张慧雯
1411,长跑,16.0,0.0,杨光
1412,长跑,16.0,0.0,杨光
1413,长跑,16.0,0.0,程立雪
1414,长跑,16.0,0.0,程立雪
1415,长跑,16.0,0.0,徐川傲
1416,长跑,16.0,0.0,"何黛,万菲"
1417,长跑,16.0,0.0,"何黛,万菲"
1418,长跑,16.0,0.0,"宇文展,杨彦博"
1419,长跑,16.0,0.0,"宇文展,杨彦博"
1420,长跑,16.0,0.0,李靖
1421,长跑,16.0,0.0,李靖
1422,长跑,16.0,0.0,李靖
1423,长跑,16.0,0.0,韩骥磊
1424,长跑,16.0,0.0,韩骥磊
1425,长跑,16.0,0.0,韩骥磊
1426,长跑,16.0,0.0,韩骥磊
1427,长跑,16.0,0.0,东岳
1428,长跑,16.0,0.0,肖坤鹏
1429,长跑,16.0,0.0,肖坤鹏
1430,长跑,16.0,0.0,彭麟凯
